Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D2, D3, D4, D5, D6, D7, D8, D9",0805,14,LED,C84256
"R1, R10, R2, R3, R4, R5, R6, R7, R8, R9",0603,10,100R,C22775
"SW1, SW2, SW3",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,3,TS-1187A-B-A-B,C318884
U1,XIAO-ESP32C3-SMD,1,XIAO-ESP32-C3-DIP,
